No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
2947,MASJID UMAR ABDUL AZIZ TELAGA BATU,MUKIM NAGA 06000 JITRA,KEDAH,KUBANG PASU,,
2948,MASJID SAIDINA OTHMAN KARIAH ALOR BIAK,"MUKIM NAGA, 06000 JITRA",KEDAH,KUBANG PASU,,
2949,MASJID SULTAN RIJALUDDIN KAMPUNG NAGA,"MUKIM NAGA, 06000",KEDAH,KUBANG PASU,,
2950,MASJID TUAN GURU HJ SALEH LUBUK KAWAH,"MUKIM NAGA, 06000",KEDAH,KUBANG PASU,,
2951,MASJID AL FATEH TANJUNG PAUH,"MUKIM NAGA, 06000",KEDAH,KUBANG PASU,,
2952,MASJID AL-IKHWAN PIDA 2,"MUKIM TUNJANG, 06000 JITRA KEDAH",KEDAH,KUBANG PASU,,
2953,MASJID SAIDINA ALI TOK TAMBAK,"MUKIM TUNJANG, 06000 JITRA",KEDAH,KUBANG PASU,,
2954,"MASJID PIDA 4,TUNJANG",MUKIM TUNJANG 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
2955,MASJID GELONG,MUKIM GELONG 06000 JITRA,KEDAH,KUBANG PASU,,
2956,MASJID AN NUR LEBAK ENGAD,"KG. LEBAK ENGAD, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2957,MASJID KAWANG-KAWANG,"KG. KAWANG-KAWANG, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2958,MASJID TAUN GUSI PADANG,"KG. TAUN GUSI PADANG, KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2959,MASJID AL KAUTSAR KG.TANAH MERAH,KG. TANAH MERAH PETI SURAT 184 KENINGAU,SABAH,BPA - KENINGAU,087 331352,087 339957
2960,MASJID KG. SEMBIRAI,"KG. SEMBIRAI, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2961,MASJID JAMEK LIMATOK,"KG. LIMATOK, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2962,MASJID KG. SIASAI JAYA,"KG. SIASAI, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2963,MASJID NUR HIKMAH PELADOK,"KG. PELADOK, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2964,MASJID TAMAU UTARA,"KG. TAMAU UTARA, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2965,MASJID LINGKODON,"KG. LINGKODON, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2966,MASJID HJ OSMAN,"KG. SUANG PUNGGOR, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2967,MASJID NURUL SYUHADA,"KG. RAMPAYAN ULU, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2968,MASJID KG. PANTAI EMAS,"KG. PANTAI EMAS, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2969,MASJID HJ ZAINI AL-PALEMBANI,"KG. GUNDING, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2970,MASJID KG. PAYAS-PAYAS,"KG. PAYAS-PAYAS, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2971,MASJID KG. MERABAU,"KG. MERABAU, 891502 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2972,MASJID RAMPAYAN LAUT,"KG. RAMPAIAN LAUT, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2973,MASJID KG. TAMBILAUNG,"KG. TAMBILAUNG, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2974,MASJID KG. KEGURAAN,"KG. KEGURAAN, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2975,MASJID AR-RAHMAN,"KG. AMBONG, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2976,MASJID KG. KULAMBAI DUNDAU,"KG. KULAMBAI, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2977,MASJID PEKAN KOTA BELUD,"PEKAN KOTA BELUD, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2978,MASJID KG. KOTA PELADOK,"KG. KOTA PELADOK, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2979,MASJID KG. LABUAN,"KG. LABUAN, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2980,MASJID JAMEK KG. PIRASAN,"KG. PIRASAN, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2981,MASJID KG. KESAPANG,"KG. KESAPANG, JALAN KUDAT. KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2982,MASJID PULAU MENTANANI,"KG. PULAU MENTANANI, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2983,MASJID KG. TIMBANG DAYANG,"KG. TIMBANG DAYANG, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2984,MASJID NANAMUN,"KG. NANAMUN, 89150 KOTA BELUD.",SABAH,PBU - KOTA BELUD,,
2985,MASJID KG. JAWI-JAWI,"KG. JAWI-JAWI, KOTA BELUD.",SABAH,PBU - KOTA BELUD,138680347,
2986,MASJID KG. SIASAI TAMU,KG. SIASAI TAMU,SABAH,PBU - KOTA BELUD,,
2987,MASJID KG. JABANG,"KG. JABANG, BEAUFORT.",SABAH,BPB - BEAUFORT,138537206,TIADA
2988,MASJID NUR IKHWAN KG. PILAJAU,"KG. PILAJAU, BEAUFORT.",SABAH,BPB - BEAUFORT,168053243,TIADA
2989,MASJID KG. PINTAS,"KG. PINTAS, PETI SURAT 529, BEAUFORT.",SABAH,BPB - BEAUFORT,138973440,TIADA
2990,MASJID DARUS SALAM SELAMAT,"KAMPUNG SELAMAT,KUNAK",SABAH,TAW - KUNAK,,
2991,MASJID RAHMAN AL-BAUNDING,"KG. TERUSAN TENGAH LAMA, D/A PEJABAT JHEAINS DAERAH, PETI SURAT NO.172",SABAH,TAW - SEMPORNA,089-784051,089-784052
2992,MASJID AT-TAQWA RANCANGAN KLIAS,"KG. RANCANGAN KLIAS, P/S 462, BEAUFORT.",SABAH,BPB - BEAUFORT,,
2993,MASJID CAHAYA IMAN MEMBAKUT,"MASJID CAHAYA IMAN PETI SURAT 54, 89728 MEMBAKUT SABAH",SABAH,BPB - MEMBAKUT,019-8203452,08-7889291
2994,MASJID JEROCO PLANTATION,"JEROCO PLANTATION, LAHAD DATU",SABAH,TAW - LAHAD DATU,,
2995,MASJID KG. BERINGIN,"KG. BERINGIN, 89808 BEAUFORT.",SABAH,BPB - BEAUFORT,145552996,
2996,MASJID AN-NABA KG. BINSULOK,"KAMPUNG BINSULOK 89727 MEMBAKUT, SABAH",SABAH,BPB - MEMBAKUT,138663134,08-7889291
2997,MASJID NURUL KARIM KG. MAWOU,"KAMPUNG ULU MAWAO PETI SURAT NO.167 89728 MEMBAKUT, SABAH.",SABAH,BPB - MEMBAKUT,087-886078,087-889291
2998,MASJID CAHAYA HIKMAH KG. BRUNEI,"MASJID JAMEK KAMPUNG BRUNEI PETI SURAT NO.46 89727 MEMBAKUT , SABAH.",SABAH,BPB - MEMBAKUT,109652273,08-7889291
2999,MASJID NUR EHSAN LUMAT,"KG. LUMAT, 89728 MEMBAKUT.",SABAH,BPB - MEMBAKUT,1114103775,08-7889291
3000,MASJID AN-NUR LINGKUNGAN,"KG. LINGKUNGAN, P/S 473, 89800 BEAUFORT.",SABAH,BPB - BEAUFORT,1119556297,
3001,MASJID HJ. IBRAHIM KG. TAKULI,"KG. TAKULI, 89800 BEAUFORT.",SABAH,BPB - BEAUFORT,198013666,TIADA
3002,MASJID MUKIM CHUCHUH PUTERI B,"DAERAH OLAK JERAM, 18000 KUALA KRAI, KELANTAN.",KELANTAN,KUALA KRAI,,
3003,MASJID KG. LUPAK TUHU,"KG. LUPAK TUHU P/S 83, 89800 BEAUFORT.",SABAH,BPB - BEAUFORT,195321380,TIADA
3004,MASJID MUKIM KESEDAR BIAK,"DAERAH DABONG, 18200 KUALA KRAI, KELANTAN.",KELANTAN,KUALA KRAI,,
3005,MASJID MUKIM SETONG A,"DAERAH DABONG, 18200 KUALA KRAI, KELANTAN.",KELANTAN,KUALA KRAI,,
3006,MASJID PEKAN TUNJANG,MUKIM TUNJANG 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3007,MASJID NUR IKHWAN KG. BAMBANGAN,"KAMPUNG BAMBANGAN PETI SURAT NO.6 89728 MEMBAKUT, SABAH.",SABAH,BPB - MEMBAKUT,164697454,08-7889291
3008,MASJID AS-SA'ADAH,"KG. PIMPING PETI SURAT 161, 89728 MEMBAKUT , SABAH",SABAH,BPB - MEMBAKUT,168409444,08-7889291
3009,MASJID GARAMA,"KG. GARAMA GADONG, 89800 BEAUFORT.",SABAH,BPB - BEAUFORT,145557550,TIADA
3010,MASJID NAWWARAH,KG. RANAU KOTA MARUDU,SABAH,PBU - KOTA MARUDU,,
3011,MASJID KG. LUBAK,"KG. LUBAK, 89800 BEAUFORT.",SABAH,BPB - BEAUFORT,1129882100,TIADA
3012,MASJID MUKIM LALANG,"DAERAH PASIR MAS, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3013,MASJID MUKIM BANGGOL KEMIAN,"DAERAH PASIR MAS, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3014,MASJID MUKIM GUAL PERIOK,"DAERAH GUAL PERIOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3015,MASJID MUKIM LUBOK JONG,"LUBOK JONG, DAERAH GUAL PERIOK, 17200 RANTAU PANJANG. KELANTAN.",KELANTAN,PASIR MAS,,
3016,MASJID MUKIM TASEK BERANGAN,"DAERAH GUAL PERIOK, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3017,MASJID MUKIM GUAL TOK DEH,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3018,MASJID MUKIM BUKIT KWONG,"DAERAH GUAL PERIOK, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3019,MASJID MUKIM TOK SANGKUT,"DAERAH ALOR PASIR, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3020,MASJID MUKIM BANGGOL SETOL,"DAERAH ALOR PASIR, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3021,MASJID MUKIM JEJAWI,"DAERAH ALOR PASIR, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3022,MASJID TUAN GURU HJ ISHAQ PULAU PISANG,MUKIM TUNJANG 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3023,MASJID MUKIM BONGOR,"DAERAH ALOR PASIR, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3024,MASJID MUKIM CHETOK,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3025,MASJID AL-FAIZIN PULAU KETAM,MUKIM GELONG 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3026,MASJID AR-RAUDHAH PIDA 4 PERING,MUKIM PERING 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3027,MASJID AL BARAKAH KANDIS,MUKIM PERING 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3028,MASJID SULTAN SALEHUDDIN PAYA STESYEN,MUKIM PERING 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3029,MASJID NURUSSALAM SIPUTEH,06100 KODIANG KEDAH,KEDAH,KUBANG PASU,,
3030,"MASJID SULTAN MAHYUDDIN MANSUR SHAH, JERAM",KG. TANJUNG06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3031,MASJID SOLAHUDDIN AL AYUBBI GURINDAM,MUKIM JERAM 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3032,MASJID AL HASHIM GELONG RAMBAI,MUKIM JERAM 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3033,MASJID BABUS SALAM PIDA 3,MUKIM TUNJANG 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3034,MASJID HJ ISMAIL PULAU MAHARAJA,MUKIM PADANG PERAHU 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3035,MASJID MUKIM JENERIH TUJUH,"DAERAH CHETOK, 17050 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3036,MASJID MUKIM KUBANG GENDANG,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3037,MASJID MUKIM JABA,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3038,MASJID MUKIM KUBANG TEMESU,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3039,MASJID MUKIM KANGKONG,"DAERAH KANGKONG, 17040 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3040,MASJID MUKIM KELAR,"DAERAH KANGKONG, 17040 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3041,MASJID MUKIM TOK UBAN,"DAERAH KANGKONG, 17050 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3042,MASJID MUKIM KEDEPIL,"DAERAH KANGKONG, 17050 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3043,MASJID MUKIM RONG CHENOK,"DAERAH KANGKONG, 17050 PASIR M,AS, KELANTAN.",KELANTAN,PASIR MAS,,
3044,MASJID MUKIM GABUS,"DAERAH KANGKONG, 17050 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3045,MASJID MUKIM BUKIT TUKU,"DAERAH KANGKONG, 17040 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3046,MASJID MUKIM KEDAI LAMA RANTAU PANJANG,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3047,MASJID MUKIM GUAL NERING,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3048,MASJID MUKIM LUBUK GONG,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3049,MASJID AL ISLAH PUTAT,MUKIM PUTAT 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3050,MASJID MUKIM TELAGA MAS,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3051,MASJID AL-HUDA KARIAH TOK KEPAK,MASJID AL HUDA KARIAH TOK KEPAK MUKIM PUTAT 06100 KODIANG,KEDAH,KUBANG PASU,,
3052,MASJID MUKIM PINTU CHERANG,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3053,MASJID MUKIM KUBANG BEMBAN,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3054,MASJID MUKIM KUBANG BATANG,"DAERAH KUBANG GADONG,, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3055,MASJID MUKIM BAKONG,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3056,MASJID MUKIM MERANTI,"DAERAH KUBANG GADONG, 17010 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3057,MASJID MUKIM KEDONDONG,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3058,MASJID MUKIM KUBANG GATAL,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3059,MASJID MUKIM KASAR,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3060,MASJID MUKIM ALOR BULUH,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3061,MASJID NUR IMAN PEKAN WESTON,"KG. WESTON, 89800 BEAUFORT.",SABAH,BPB - BEAUFORT,109321652,TIADA
3062,MASJID NURUL HUDA,"KG. TULIBAS BESAR, TUNGKU",SABAH,TAW - TUNGKU,,
3063,MASJID AL-MUTTAQEEN,KG. INDAI,SABAH,PBS - TUARAN,138519892,
3064,MASJID UBUDIYYAH PEKAN TAMPARULI,"PEKAN TAMPARULI, 89200 TUARAN.",SABAH,PBS - TAMPARULI,,
3065,MASJID HAJI NOOR,KG. SERUSUP,SABAH,PBS - TUARAN,,
3066,MASJID NURUSSAADAH,KG. BOLONG LAMA,SABAH,PBS - TUARAN,,
3067,MASJID KG. BUNGA TENGGILAN,"KG. BUNGA, 89200 TUARAN.",SABAH,PBS - TAMPARULI,,
3068,MASJID NURUL IKHWANIAH,KG. BERUNGIS,SABAH,PBS - TUARAN,,
3069,MASJID NUR FALAH,KG. MENGKABONG,SABAH,PBS - TUARAN,,
3070,MASJID AN-NUR,PEKAN TUARAN,SABAH,PBS - TUARAN,,
3071,MASJID AL-MU`MIN KG TONTOLOB LIWAN,"D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, P/S 52 TAMBUNAN",SABAH,BPA - TAMBUNAN,087-774654,087-774654
3072,MASJID NUR IMAN KG. KITOU,"MASJID NUR IMAN, KAMPUNG KITOU, 89657 TAMBUNAN, SABAH.",SABAH,BPA - TAMBUNAN,087-774654,087-774654
3073,MASJID AL ADZILAL KG. BAYANGAN,"KG. BAYANGAN, PETI SURAT 72 89007 KENINGAU.",SABAH,BPA - KENINGAU,087-331352,087 339957
3074,MASJID UKHUWAH KG. APIN-APIN,"KG. APIN-APIN, 89000 PETI SURAT 184 KENINGAU.",SABAH,BPA - KENINGAU,087 331352,087 339957
3075,MASJID NUR HIDAYAH PEKAN BINGKOR,"PEKAN BINGKOR, 89000 KENINGAU.",SABAH,BPA - KENINGAU,087 331352,087 339957
3076,MASJID RAUDHATUL ILMIYAH KG. KUALA PAPAR,"D/ A PEJABAT JHEAINS PAPAR,TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR 89608 PAPAR.",SABAH,PBS - PAPAR,088-912971,088-912971
3077,"MASJID NURUL IMAN,TAMAN PANTAI LOK KAWI,PAPAR","D/A PEJABAT JHEAINS PAPAR , TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR 89608 PAPAR",SABAH,PBS - PAPAR,088-912971,088-912971
3078,MASJID MUKIM PEROL TOK UBAN,"DAERAH KANGKONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3079,MASJID MUKIM BELUKAR,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3080,MASJID MUKIM JEJULUT,"DAERAH KUBANG GADONG, 17000 PASIR MAS, KELANTAN",KELANTAN,PASIR MAS,,
3081,MASJID MUKIM BECHAH DURIAN,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3082,MASJID MUKIM TANJONG,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3083,MASJID MUKIM BERIS BECHAH SEMAK,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3084,MASJID MUKIM TEMPOYAK LAMA,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3085,MASJID MUKIM KENAP,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3086,MASJID MUKIM KERASAK,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3087,MASJID MUKIM APA-APA,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3088,MASJID MUKIM TELIAR,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3089,MASJID MUKIM BANGGOL NAIM,"DAERAH BUNUT SUSU, 17020 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3090,MASJID MUKIM KUBANG SEPAT,"DAERAH KUBANG SEPAT, 17030 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3091,MASJID MUKIM SAKAR,"DAERAH KUBANG SEPAT, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3092,MASJID MUKIM PADANG EMBUN,"DAERAH KUBANG SEPAT, 17030 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3093,MASJID MUKIM HUTAN CHENGAL,"DAERAH KUBANG SEPAT, 17030 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3094,MASJID MUKIM KUALA LEMAL,"DAERAH LEMAL, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3095,MASJID MUKIM LUBUK TAPAH,"DAERAH LEMAL, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3096,MASJID MUKIM POHON TANJUNG,"DAERAH ALOR PASIR, 17000 PASIR MAS, KELANTAN",KELANTAN,PASIR MAS,,
3097,MASJID MUKIM GUNTONG,"DAERAH LIMBAT, 16150 KOTA BHARU, KELANTAN.",KELANTAN,KOTA BHARU,,
3098,MASJID MUKIM BARUH PIAU,"DAERAH GUAL PERIOK, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3099,MASJID MUKIM HUJUNG GALOK,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3100,MASJID MUKIM CHASI,"DAERAH KANGKONG, 17040 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3101,MASJID MUKIM GUAL PAYUNG,"DAERAH GUAL PERIOK, 17040 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3102,MASJID MUKIM KUBANG RAMBUTAN,"DAERAH RANTAU PANJANG, 17040 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3103,MASJID MUKIM LUBUK SETOL,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3104,MASJID MUKIM BUNUT SUSU,"DAERAH BUNUT SUSU, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3105,MASJID MUKIM PADANG PAUH,"DAERAH PASIR MAS, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3106,MASJID MUKIM KUBANG AGOL,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3107,MASJID MUKIM TASEK GONDANG,"DAERAH GUAL PERIOK, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3108,MASJID MUKIM KUBANG PANJANG,"DAERAH LEMAL, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3109,MASJID MUKIM BETING PAUH,"DAERAH CHETOK, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3110,MASJID MUKIM TEMBESU,"DAERAH LIMBAT, 16150 KOTA BHARU, KELANTAN.",KELANTAN,KOTA BHARU,,
3111,MASJID MUKIM LUBOK CHEKOK TIMOR,"DAERAH PASIR MAS, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3112,MASJID MUKIM KAMPUNG SIRAM,"DAERAH ALOR PASIR, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3113,MASJID MUKIM GUAL TINGGI,"DAERAH RANTAU PANJANG, 17200 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
3114,MASJID MUKIM BAKA KEMUNING,"DAERAH ULU SAT, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3115,MASJID MUKIM ULU SAT,"DAERAH ULU SAT, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3116,MASJID MUKIM BUKIT TIU,"DAERAH ULU SAT, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3117,MASJID MUKIM PEMANAK KEMUNING,"DAERAH ULU SAT, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3118,MASJID MUKIM PANGKAL PETAI,"18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3119,MASJID MUKIM PENAKAH,"DAERAH ULU SAT, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3120,MASJID BARU (UTARA) SUNGAI BAKAP,"37, JALAN BEDUK, TAMAN SUNGAI BAKAP, 14200 SUNGAI JAWI, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3121,MASJID SUNGAI BAKAP LAMA,"14200 SUNGAI BAKAP, NIBONG TEBAL, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3122,MASJID AL-HUDA SUNGAI BAKAU,"14320 SUNGAI BAKAU, NIBONG TEBAL,SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3123,MASJID NURUL HUDA SUNGAI CHENAAM,"14310 SUNGAI CHENAAM, NIBONG TEBAL",PULAU PINANG,SEBERANG PERAI SELATAN,,
3124,MASJID SUNGAI DURI,"14200 SUNGAI BAKAP, NIBONG TEBAL, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3125,MASJID SUNGAI KECIL,"14200 SUNGAI BAKAP, NIBONG TEBAL, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3126,MASJID AL FATAH SUNGAI SETAR BESAR,"14310 SUNGAI SETAR BESAR, NIBONG TEBAL",PULAU PINANG,SEBERANG PERAI SELATAN,,
3127,MASJID TASEK CEMPEDAK,"14110 SIMPANG EMPAT, NIBONG TEBAL, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3128,MASJID TELOK IPIL ( AN-NUR ),"14300 JALAN TELOK IPIL, NIBONG TEBAL, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3129,MASJID NURUL IMAN BUKIT PANCHOR,"14300 NIBONG TEBAL, SEBERANG PERAI SELATAN",PULAU PINANG,SEBERANG PERAI SELATAN,,
3130,MASJID FELDA KOTA GELANGGI 1 & 3,"FELDA KOTA GELANGGI 1 & 3, 27000 JERANTUT,",PAHANG,JERANTUT,,
3131,MASJID AL- MUSTAQIM ( SEK. SAINS ),"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3132,MASJID ALMA,"14000 KAMPONG KUANG, ALMA, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
3133,MASJID BAGAN NYIUR JURU,"14100 JURU, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3134,"MASJID TUAN HAJI AHMAD BIN HUSSAIN, BALIK BUKIT","14000 SIMPANG EMPAT, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3135,"MASJID JAMEK AL MUHTADIN, BUKIT INDERA MUDA","14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3136,MASJID TOK LEBAI HASHIM,"14000 BUKIT MINYAK, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
